candidate,n_folds,rmse_baseline,rmse_candidate,rmse_reduction,t_stat,raw_p,holm_p,holm_threshold,significant_holm,cohens_d,service
holt_winters,5,0.0044416750654579645,0.003348477702188918,0.001093197363269047,10.26063789225273,0.00025433822169841093,0.0007630146650952328,0.016666666666666666,True,4.588696763917453,adservice
lstm,5,0.0044416750654579645,0.0042074420404445275,0.00023423302501343683,0.21389397447665104,0.42054520368017506,0.8410904073603501,0.025,False,0.09565629338147934,adservice
xgboost,5,0.0044416750654579645,0.004416080989627408,2.5594075830556033e-05,0.020523721757995446,0.49230427966192675,0.8410904073603501,0.05,False,0.00917848740043386,adservice
holt_winters,5,0.018320639352949974,0.013735820479316544,0.004584818873633431,18.925379265268838,2.29563189586054e-05,6.886895687581619e-05,0.016666666666666666,True,8.463686907421229,cartservice
lstm,5,0.018320639352949974,0.015885400398595956,0.0024352389543540187,0.7873253892693236,0.23756108132667894,0.4751221626533579,0.025,False,0.35210261816353816,cartservice
xgboost,5,0.018320639352949974,0.01733512734216044,0.0009855120107895333,0.22713143876501982,0.41572890567783444,0.4751221626533579,0.05,False,0.10157626738118303,cartservice
holt_winters,5,0.005666878231158587,0.004343027192506042,0.0013238510386525452,10.303761020108627,0.0002502347642442631,0.0007507042927327892,0.016666666666666666,True,4.607982012975094,checkoutservice
xgboost,5,0.005666878231158587,0.005471742586692606,0.0001951356444659805,0.1616583928560942,0.4397059080884792,0.8794118161769584,0.025,False,0.0722958311119186,checkoutservice
lstm,5,0.005666878231158587,0.005662090696806264,4.787534352322827e-06,0.0033493624193871164,0.4987439920281832,0.8794118161769584,0.05,False,0.0014978804102065502,checkoutservice
holt_winters,5,0.020752595963428128,0.016739852921489405,0.004012743041938722,7.759832056055567,0.00074318411207988,0.00222955233623964,0.016666666666666666,True,3.4703023942644413,currencyservice
lstm,5,0.020752595963428128,0.02394928508393831,-0.003196689120510185,-0.40291479426661886,0.6461916330364537,1.0,0.025,False,-0.18018897382410048,currencyservice
xgboost,5,0.020752595963428128,0.025640598514921915,-0.004888002551493785,-0.5973934026388833,0.7087906917392504,1.0,0.05,False,-0.267162451522089,currencyservice
holt_winters,5,0.002512841495337045,0.0019910048875073916,0.0005218366078296531,7.382214217514906,0.0008974919119080971,0.0026924757357242915,0.016666666666666666,True,3.30142656296575,emailservice
lstm,5,0.002512841495337045,0.002258235250999755,0.00025460624433728965,0.8782034064467519,0.21471013318500404,0.4294202663700081,0.025,False,0.39274450297736285,emailservice
xgboost,5,0.002512841495337045,0.0025758336093014583,-6.299211396441356e-05,-0.26534366721595615,0.5980708102698502,0.5980708102698502,0.05,False,-0.11866529545879206,emailservice
holt_winters,5,0.0268254227591057,0.02124217553192437,0.005583247227181332,7.532491142742909,0.0008317371983979832,0.0024952115951939495,0.016666666666666666,True,3.368632447017643,frontend
lstm,5,0.0268254227591057,0.03239009578806451,-0.005564673028958805,-0.46960840015846905,0.6684544892807167,1.0,0.025,False,-0.21001526111185195,frontend
xgboost,5,0.0268254227591057,0.03527930283134227,-0.008453880072236568,-0.5688102723516826,0.7000497730642574,1.0,0.05,False,-0.2543796870557063,frontend
holt_winters,5,0.0010573944637135772,0.000794330574348521,0.0002630638893650561,16.035038727437477,4.422460029299421e-05,0.00013267380087898263,0.016666666666666666,True,7.171087323278385,paymentservice
lstm,5,0.0010573944637135772,0.000889533416200973,0.00016786104751260415,1.2085795231819965,0.1466911574287012,0.2933823148574024,0.025,False,0.5404931940098455,paymentservice
xgboost,5,0.0010573944637135772,0.0009770722502187993,8.032221349477788e-05,0.3695976389997516,0.3652088099874881,0.3652088099874881,0.05,False,0.1652890890253744,paymentservice
holt_winters,5,0.011672560007002942,0.008767697200919772,0.0029048628060831688,31.176573549321567,3.153804856392089e-06,9.461414569176266e-06,0.016666666666666666,True,13.942587552360983,productcatalogservice
lstm,5,0.011672560007002942,0.013486138982225258,-0.0018135789752223171,-0.676441872758705,0.7320716380975223,1.0,0.025,False,-0.30251400206314555,productcatalogservice
xgboost,5,0.011672560007002942,0.018165516267868213,-0.006492956260865277,-1.4062132080218825,0.8838063237694875,1.0,0.05,False,-0.6288776647989964,productcatalogservice
holt_winters,5,0.03493927844083182,0.02431685242724268,0.010622426013589134,25.43482292751471,7.0948651936792305e-06,2.1284595581037692e-05,0.016666666666666666,True,11.374798612318617,recommendationservice
lstm,5,0.03493927844083182,0.024498137428301748,0.010441141012530068,13.840832066620038,7.897834193025607e-05,0.00015795668386051214,0.025,True,6.189808273224261,recommendationservice
xgboost,5,0.03493927844083182,0.025592040820128954,0.009347237620702862,7.635900573555027,0.0007899265109389677,0.0007899265109389677,0.05,True,3.4148785503797345,recommendationservice
holt_winters,5,0.002773701029268058,0.0020883823850723015,0.0006853186441957563,13.479088935832406,8.764135802576929e-05,0.00026292407407730786,0.016666666666666666,True,6.028031827057312,shippingservice
xgboost,5,0.002773701029268058,0.002816285210163637,-4.258418089557892e-05,-0.0514632235630846,0.5192880679164277,1.0,0.025,False,-0.02301505324566522,shippingservice
lstm,5,0.002773701029268058,0.002906334738812003,-0.00013263370954394528,-0.14456915087306704,0.5539786624297421,1.0,0.05,False,-0.06465328976032018,shippingservice
